Salary,SalaryBin,Age,Gender,Designation,Tenure,JobCity,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
420000.0,250k - 500k,25,female,quality assurance,3,bangalore,84.3,state,2007,95.8,state,2,B.Tech/B.E.,CS,78.0,0,Andhra Pradesh,2011,515,585,525,0.6359787565,445.0,,,0.9737,0.8128,0.5269,1.3549,-0.4455
500000.0,250k - 500k,26,male,management,2,other,85.4,cbse,2007,85.0,cbse,2,B.Tech/B.E.,EC,70.06,0,Madhya Pradesh,2012,695,610,780,0.960603252,,466.0,,-0.7335,0.3789,1.2396,-0.1076,0.8637
325000.0,250k - 500k,23,female,systems engineer,1,chennai,85.0,cbse,2010,68.2,cbse,2,B.Tech/B.E.,CS,70.0,0,Uttar Pradesh,2014,615,545,370,0.4508765845,395.0,,,0.2718,1.7109,0.1637,-0.8682,0.6721
1100000.0,> 1M,26,male,software engineer,4,gurgaon,85.6,cbse,2007,83.6,cbse,1,B.Tech/B.E.,CS,74.64,1,Delhi,2011,635,585,625,0.9743961125,615.0,,,0.0464,0.3448,-0.344,-0.4078,-0.9194
200000.0,< 250k,24,male,project manager,1,bangalore,78.0,cbse,2008,76.8,cbse,2,B.Tech/B.E.,EC,73.9,0,Uttar Pradesh,2012,545,625,465,0.124502074,,233.0,,-0.881,-0.2793,-1.0697,0.09163,-0.1295
300000.0,250k - 500k,23,male,systems engineer,1,hyderabad,89.92,state,2010,87.0,state,2,B.Tech/B.E.,EC,76.32,0,Karnataka,2014,560,555,620,0.6493897148,645.0,,407.0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608
300000.0,250k - 500k,22,male,software engineer,1,bangalore,86.08,state,2010,67.5,state,2,B.Tech/B.E.,CS,72.98,1,Karnataka,2014,590,435,380,0.3565364877,405.0,,346.0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872
400000.0,250k - 500k,23,male,engineer(other),1,bangalore,92.0,cbse,2010,91.0,cbse,1,B.Tech/B.E.,ME,85.8,0,Tamil Nadu,2016,545,555,590,0.8295845998,,,,-0.0154,1.2114,0.01,0.1459,1.247
600000.0,500k - 1M,24,male,engineer(other),2,noida,90.0,cbse,2009,91.2,cbse,1,B.Tech/B.E.,EC,85.03,1,Delhi,2013,615,670,530,0.6944793277,735.0,366.0,,-0.159,0.5454,-0.6048,-0.7415,-0.2859
230000.0,< 250k,22,male,project manager,1,kolkata,77.0,cbse,2010,72.2,cbse,2,B.Tech/B.E.,EC,78.0,1,West Bengal,2014,605,565,545,0.4935963873,385.0,324.0,,-1.308,0.5454,-0.9122,0.9066,0.0973
600000.0,500k - 1M,26,male,software engineer,4,bangalore,88.6,state,2006,83.7,state,2,B.Tech/B.E.,CS,74.9,0,Madhya Pradesh,2010,565,455,565,0.7656735812,485.0,,,0.0464,0.8128,0.0914,0.1798,0.0284
450000.0,250k - 500k,25,male,systems engineer,3,pune,81.0,cbse,2007,86.0,cbse,1,B.Tech/B.E.,CS,72.29,0,Madhya Pradesh,2011,495,605,715,0.9682374959,605.0,,,-2.272,1.1248,0.8171,-0.4078,-0.4455
270000.0,250k - 500k,25,male,quality assurance,2,pune,83.6,state,2008,69.83,state,2,B.Tech/B.E.,EC,60.0,0,Maharashtra,2013,380,580,470,0.2294817549,,266.0,,0.1282,0.5454,-0.7585,-0.995,0.8637
200000.0,< 250k,25,male,quality assurance,1,gurgaon,60.8,cbse,2008,62.4,cbse,2,B.Tech/B.E.,EC,60.0,0,Haryana,2012,495,425,645,0.538386893,385.0,333.0,,0.3555,0.0328,-0.598,-0.2902,-1.2354
300000.0,250k - 500k,23,male,software engineer,2,bangalore,81.2,state,2008,79.9,state,2,B.Tech/B.E.,EC,67.67,0,Uttar Pradesh,2013,395,565,645,0.6493897148,495.0,,376.0,0.7027,0.7119,0.01,-0.995,0.6721
350000.0,250k - 500k,25,female,systems engineer,2,bangalore,69.54,icse,2008,64.43,icse,2,B.Tech/B.E.,CS,63.0,0,Uttar Pradesh,2012,485,520,355,0.3084005829,355.0,,,1.7465,1.9048,0.672,-0.2902,1.2528
325000.0,250k - 500k,23,male,software engineer,1,noida,85.8,cbse,2010,74.8,cbse,2,B.Tech/B.E.,EC,64.8,0,Uttar Pradesh,2014,685,530,620,0.6493897148,515.0,,,1.1336,1.0449,0.7785,-0.6147,-0.8608
250000.0,< 250k,28,male,software engineer,1,gurgaon,60.8,cbse,2006,66.66,cbse,2,MCA,CS,74.74,1,Delhi,2013,465,585,515,0.9113952784,545.0,,500.0,0.8463,1.0449,-1.0659,-1.6289,0.6721
120000.0,< 250k,23,male,data scientist,0,gurgaon,65.0,state,2008,64.8,icse,2,B.Tech/B.E.,CS,69.54,0,Uttar Pradesh,2013,465,495,515,0.5632678237,425.0,,,-0.159,0.3789,1.3933,-0.2344,1.4386
325000.0,250k - 500k,25,female,software engineer,1,pune,79.0,cbse,2008,62.2,cbse,2,B.Tech/B.E.,CS,76.3,0,Uttar Pradesh,2012,485,445,435,0.8646854134,525.0,,,0.8192,0.2668,-0.2714,-0.4078,-0.1295
320000.0,250k - 500k,27,female,software engineer,2,bangalore,91.2,state,2006,84.63,state,2,B.Tech/B.E.,CS,78.15,0,Karnataka,2010,455,535,445,0.6359787565,445.0,,,-0.1082,0.9688,0.5269,-0.2902,0.3444
200000.0,< 250k,24,female,software engineer,1,bangalore,75.67,state,2007,74.4,state,2,B.Tech/B.E.,CS,74.01,0,Uttar Pradesh,2012,385,555,445,0.6359787565,445.0,,,-1.0355,-0.5913,-1.3599,0.06223,-1.3539
190000.0,< 250k,23,male,software engineer,2,hyderabad,92.5,state,2009,95.2,state,2,B.Tech/B.E.,EC,76.0,0,Telangana,2013,395,455,485,0.6493897148,455.0,,,-0.4463,-0.6201,-0.6048,0.7798,-2.7769
180000.0,< 250k,29,male,engineer(other),1,bangalore,70.0,state,2006,43.42,state,2,B.Tech/B.E.,EC,55.52,1,Karnataka,2014,370,360,270,0.6493897148,,356.0,,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763
335000.0,250k - 500k,22,male,software engineer,1,hyderabad,88.0,state,2010,90.0,state,2,B.Tech/B.E.,CS,76.0,1,Telangana,2014,625,555,630,0.3565364877,475.0,,346.0,0.4155,0.8027,0.1357,-0.995,-0.6692
435000.0,250k - 500k,24,female,systems engineer,3,gurgaon,86.8,cbse,2008,82.8,cbse,2,B.Tech/B.E.,CS,78.0,0,Haryana,2012,575,585,575,0.744758354,565.0,,438.0,0.0464,1.2028,-0.9245,0.5323,-0.2875
345000.0,250k - 500k,27,male,software engineer,2,bangalore,90.88,state,2006,82.5,state,2,B.Tech/B.E.,CS,66.15,0,Orissa,2010,415,335,405,0.8841225116,535.0,333.0,,0.8192,0.1888,-1.7954,1.8249,1.1343
300000.0,250k - 500k,22,male,software engineer,1,bangalore,76.8,state,2009,83.0,state,2,B.Tech/B.E.,EC,76.44,0,Uttar Pradesh,2014,535,510,605,0.8816200695,,420.0,,0.99,1.3779,0.7785,-0.2344,-0.6692
145000.0,< 250k,21,male,engineer(other),0,noida,84.0,cbse,2011,68.0,cbse,2,B.Tech/B.E.,EC,72.0,0,Uttar Pradesh,2015,580,570,385,0.2073921697,335.0,260.0,,0.1282,0.7119,1.3933,-0.3612,-0.0943
